이름,점수,어근
밝다,2,밝다
환하다,2,환하다
산뜻하다,2,산뜻하다
탁하다,-2,탁하다
따듯하다,1,따듯하다
따뜻하다,1,따뜻하다
아늑하다,1,아늑하다
싸구려,-2,싸구려
짧다,-1,짧다
짤막하다,-1,짤막하다
깡똥하다,-1,깡똥하다
길다,1,길다
길쭉하다,1,길쭉하다
기대만큼,2,기대만큼
두껍다,0,두껍다
깔끔하다,2,깔끔하다
예쁘다,2,예쁘다
크다,0,크다
비좁다,-2,비좁다
좁아터진다,-2,좁아터진다
좁다,-1,좁다
그대로,1,그대로
조화롭다,2,조화롭다
부합하다,2,부합하다
어우러지다,2,어우러지다
어울리다,2,어울리다
고급스럽다,2,고급스럽다
세련되다,2,세련되다
고급하다,2,고급하다
분위기,2,분위기
심플,1,심플
동일하다,1,동일하다
똑같다,1,똑같다
무난,1,무난
고급,2,고급
깨끗하다,1,깨끗하다
부드럽다,1,부드럽다
딱이다,2,딱이다
실용,2,실용
활용,2,활용
실망,-2,실망
고만고만하다,1,고만고만하다
그만그만하다,1,그만그만하다
근사하다,2,근사하다
유사하다,1,유사하다
비슷하다,1,비슷하다
독특하다,1,독특하다
특이하다,1,특이하다
이상하다,-2,이상하다
어둡다,-1,어둡다
우중충하다,-1,우중충하다
침침하다,-1,침침하다
널찍널찍하다,2,널찍널찍하다
넓다,2,넓다
널찍하다,2,널찍하다
시크하다,1,시크하다
보드랍다,1,보드랍다
편안하다,2,편안하다
포근하다,1,포근하다
우아하다,2,우아하다
안락하다,2,안락하다
아담하다,1,아담하다
곱다,2,곱다
매끄럽다,1,매끄럽다
매끈하다,1,매끈하다
얼룩덜룩하다,-1,얼룩덜룩하다
안성맞춤,1,안성맞춤
자연스럽다,2,자연스럽다
울퉁불퉁하다,-2,울퉁불퉁하다
촌스럽다,-2,촌스럽다
어설프다,-1,어설프다
중고,-2,중고
칙칙,-2,칙칙
후지다,-2,후지다
허름하다,-2,허름하다
찰떡,2,찰떡
저급,-2,저급
다양하다,1,다양하다
망하다,-2,망하다
이쁘다,2,이쁘다
칙칙하다,-2,칙칙하다
모던,1,모던
은은하다,1,은은하다
싼티,-2,싼티
분위기 ,1,분위기 
아기자기하다,1,아기자기하다
아름답다,2,아름답다
귀엽다,1,귀엽다
눈부시다,2,눈부시다
거추장스럽다,-1,거추장스럽다
