이름,점수,어근
디자인 마음 안,-2,디자인 마음 안
디자인 맘 안,-2,디자인 맘 안
색상 마음 안,-2,색상 마음 안
색상 맘 안,-2,색상 맘 안
색깔 마음 안,-2,색깔 마음 안
색깔 맘 안,-2,색깔 맘 안
색감 마음 안,-2,색감 마음 안
색감 맘 안,-2,색감 맘 안
디자인 맘 들다,2,디자인 맘 들다
디자인 맘 듭니,2,디자인 맘 듭니
디자인 맘 드네,2,디자인 맘 드네
색상 맘 들다,1,색상 맘 들다
색상 맘 듭니,1,색상 맘 듭니
색상 맘 드네,1,색상 맘 드네
색감 맘 들다,1,색감 맘 들다
색감 맘 듭니,1,색감 맘 듭니
색감 맘 드네,1,색감 맘 드네
색깔 맘 들다,1,색깔 맘 들다
색깔 맘 듭니,1,색깔 맘 듭니
색깔 맘 드네,1,색깔 맘 드네
디자인 맘 들어서다,1,디자인 맘 들어서다
디자인 마음 들어서다,1,디자인 마음 들어서다
디자인 쏙 들어서다,2,디자인 쏙 들어서다
디자인 죽도 높다,2,디자인 죽도 높다
디자인 강 추,2,디자인 강 추
디자인 기대 마시기,-2,디자인 기대 마시기
디자인 기대 이하,-2,디자인 기대 이하
디자인 기대 달리,-2,디자인 기대 달리
디자인 기대 말고,-2,디자인 기대 말고
디자인 안 맞다,-1,디자인 안 맞다
색감 맘 들어서다,1,색감 맘 들어서다
색감 마음 들어서다,1,색감 마음 들어서다
색감 쏙 들어서다,2,색감 쏙 들어서다
색감 죽도 높다,2,색감 죽도 높다
색감 강 추,2,색감 강 추
색감 기대 마시기,-2,색감 기대 마시기
색감 기대 이하,-2,색감 기대 이하
색감 기대 달리,-2,색감 기대 달리
색감 기대 말고,-2,색감 기대 말고
색상 맘 들어서다,1,색상 맘 들어서다
색상 마음 들어서다,1,색상 마음 들어서다
색상 쏙 들어서다,2,색상 쏙 들어서다
색상 죽도 높다,2,색상 죽도 높다
색상 기대 마시기,-2,색상 기대 마시기
색상 기대 이하,-2,색상 기대 이하
색상 기대 달리,-2,색상 기대 달리
색상 기대 말고,-2,색상 기대 말고
색상 강 추,2,색상 강 추
색깔 맘 들어서다,1,색깔 맘 들어서다
색깔 마음 들어서다,1,색깔 마음 들어서다
색깔 쏙 들어서다,2,색깔 쏙 들어서다
색깔 죽도 높다,2,색깔 죽도 높다
색깔 기대 마시기,-2,색깔 기대 마시기
색깔 기대 이하,-2,색깔 기대 이하
색깔 기대 달리,-2,색깔 기대 달리
색깔 기대 말고,-2,색깔 기대 말고
색깔 강 추,2,색깔 강 추
색감 안 맞다,-1,색감 안 맞다
색상 안 맞다,-1,색상 안 맞다
색깔 안 맞다,-1,색깔 안 맞다
