이름,점수,어근
어 처구니 없다,-2,어 처구니 없다
배송 마음 안,-2,배송 마음 안
배송 맘 안,-2,배송 맘 안
배송 강 추,2,배송 강 추
배송 기대 마시기,-2,배송 기대 마시기
배송 기대 이하,-2,배송 기대 이하
배송 기대 달리,-2,배송 기대 달리
배송 기대 말고,-2,배송 기대 말고
배송 열 받다,-2,배송 열 받다
배송 맘 들다,2,배송 맘 들다
배송 맘 듭니,2,배송 맘 듭니
배송 맘 드네,2,배송 맘 드네
배송 엄청 화,-2,배송 엄청 화
배송 죽도 높다,2,배송 죽도 높다
배송 너무 신경,-2,배송 너무 신경
기사 마음 안,-2,기사 마음 안
기사 맘 안,-2,기사 맘 안
기사 강 추,2,기사 강 추
기사 기대 마시기,-2,기사 기대 마시기
기사 기대 이하,-2,기사 기대 이하
기사 기대 달리,-2,기사 기대 달리
기사 기대 말고,-2,기사 기대 말고
기사 열 받다,-2,기사 열 받다
기사 맘 들다,2,기사 맘 들다
기사 맘 듭니,2,기사 맘 듭니
기사 맘 드네,2,기사 맘 드네
기사 엄청 화,-2,기사 엄청 화
기사 죽도 높다,2,기사 죽도 높다
기사 너무 신경,1,기사 너무 신경
센터 마음 안,-2,센터 마음 안
센터 맘 안,-2,센터 맘 안
센터 강 추,2,센터 강 추
센터 기대 마시기,-2,센터 기대 마시기
센터 기대 이하,-2,센터 기대 이하
센터 기대 달리,-2,센터 기대 달리
센터 기대 말고,-2,센터 기대 말고
센터 열 받다,-2,센터 열 받다
센터 맘 들다,2,센터 맘 들다
센터 맘 듭니,2,센터 맘 듭니
센터 맘 드네,2,센터 맘 드네
센터 엄청 화,-2,센터 엄청 화
센터 죽도 높다,2,센터 죽도 높다
센터 너무 신경,-1,센터 너무 신경
직원 마음 안,-2,직원 마음 안
직원 맘 안,-2,직원 맘 안
직원 강 추,2,직원 강 추
직원 기대 마시기,-2,직원 기대 마시기
직원 기대 이하,-2,직원 기대 이하
직원 기대 달리,-2,직원 기대 달리
직원 기대 말고,-2,직원 기대 말고
직원 열 받다,-2,직원 열 받다
직원 맘 들다,2,직원 맘 들다
직원 맘 듭니,2,직원 맘 듭니
직원 맘 드네,2,직원 맘 드네
직원 엄청 화,-2,직원 엄청 화
직원 죽도 높다,2,직원 죽도 높다
직원 너무 신경,1,직원 너무 신경
상담사 마음 안,-2,상담사 마음 안
상담사 맘 안,-2,상담사 맘 안
상담사 강 추,2,상담사 강 추
상담사 기대 마시기,-2,상담사 기대 마시기
상담사 기대 이하,-2,상담사 기대 이하
상담사 기대 달리,-2,상담사 기대 달리
상담사 기대 말고,-2,상담사 기대 말고
상담사 열 받다,-2,상담사 열 받다
상담사 맘 들다,2,상담사 맘 들다
상담사 맘 듭니,2,상담사 맘 듭니
상담사 맘 드네,2,상담사 맘 드네
상담사 엄청 화,-2,상담사 엄청 화
상담사 죽도 높다,2,상담사 죽도 높다
상담사 너무 신경,1,상담사 너무 신경
서비스 마음 안,-2,서비스 마음 안
서비스 맘 안,-2,서비스 맘 안
서비스 강 추,2,서비스 강 추
서비스 기대 마시기,-2,서비스 기대 마시기
서비스 기대 이하,-2,서비스 기대 이하
서비스 기대 달리,-2,서비스 기대 달리
서비스 기대 말고,-2,서비스 기대 말고
서비스 열 받다,-2,서비스 열 받다
서비스 맘 들다,2,서비스 맘 들다
서비스 맘 듭니,2,서비스 맘 듭니
서비스 맘 드네,2,서비스 맘 드네
서비스 엄청 화,-2,서비스 엄청 화
서비스 죽도 높다,2,서비스 죽도 높다
서비스 너무 신경,1,서비스 너무 신경
,,
,,
,,
,,
,,
