이름,점수,어근
자세하다,1,자세하다
꼼꼼하다,1,꼼꼼하다
상세하다,1,상세하다
변동,-1,변동
변경,-1,변경
상냥하다,2,상냥하다
나긋나긋하다,2,나긋나긋하다
살갑다,2,살갑다
사근사근하다,2,사근사근하다
친절하다,2,친절하다
걸리다,-1,걸리다
노고,1,노고
빠르다,2,빠르다
신속하다,2,신속하다
재빠르다,2,재빠르다
잽싸다,2,잽싸다
오래,-2,오래
교체,-2,교체
교환,-2,교환
감사하다,2,감사하다
고맙다,2,고맙다
이나,-1,이나
지체하다,-2,지체하다
지체되다,-2,지체되다
늦다,-2,늦다
연락,-1,연락
통보,-1,통보
기다리다,-1,기다리다
느리다,-2,느리다
느릿느릿하다,-2,느릿느릿하다
해주다,2,해주다
반품,-2,반품
처리,1,처리
조치,1,조치
해결,1,해결
수습,1,수습
넘다,-1,넘다
지나다,-1,지나다
넘기다,-1,넘기다
전화,-1,전화
콜센터,-1,콜센터
콜,-1,콜
빨리,2,빨리
쏜살같이,2,쏜살같이
확인,0,확인
체크,0,체크
상태,1,상태
섬세하다,1,섬세하다
업체,-1,업체
귀찮다,-1,귀찮다
성가시다,-1,성가시다
잘못,-2,잘못
불찰,-2,불찰
과실,-2,과실
빨르다,2,빨르다
요구,-1,요구
신청,-1,신청
요청,-1,요청
곤란,-1,곤란
고생,1,고생
정확하다,2,정확하다
센터,-1,센터
되는대로,-1,되는대로
대강,-1,대강
얼추,-1,얼추
대충,-1,대충
바라다,-1,바라다
기대하다,-1,기대하다
취소,-2,취소
연락하다,-1,연락하다
전화하다,-1,전화하다
상담,-1,상담
퉁명스럽다,-2,퉁명스럽다
무뚝뚝하다,-2,무뚝뚝하다
불친절하다,-2,불친절하다
검수,-1,검수
일찍,1,일찍
일찍이,1,일찍이
환불,-2,환불
엉망,-1,엉망
엉망진창,-2,엉망진창
남기다,0,남기다
감사,2,감사
당부하다,-1,당부하다
부탁드리다,-1,부탁드리다
안내,0,안내
뚝딱,1,뚝딱
지키다,2,지키다
친절,2,친절
불만,-1,불만
지연,-1,지연
지연되다,-1,지연되다
연기,-1,연기
연기되다,-1,연기되다
별도,-1,별도
별개,-1,별개
애매하다,-1,애매하다
비정상,-2,비정상
답답하다,-1,답답하다
갑갑하다,-1,갑갑하다
늦어지다,-2,늦어지다
대응,0,대응
대처,0,대처
어이없다,-1,어이없다
기막히다,-2,기막히다
어처구니,-1,어처구니
불쾌하다,-2,불쾌하다
불친절,-1,불친절
쏜살같다,2,쏜살같다
지치다,-1,지치다
까다롭다,-1,까다롭다
복잡하다,-1,복잡하다
보상,-1,보상
배상,-1,배상
손해배상,-1,손해배상
무책임하다,-2,무책임하다
불성실하다,-2,불성실하다
무성의하다,-2,무성의하다
계속,-1,계속
말끔,2,말끔
긁다,-2,긁다
불안하다,-1,불안하다
건드리다,-2,건드리다
밀리다,-1,밀리다
정체되다,-1,정체되다
번거롭다,-1,번거롭다
번잡하다,-1,번잡하다
짜증,-1,짜증
개선,-1,개선
보완,-1,보완
불평,-1,불평
불편,-1,불편
개판,-2,개판
심각하다,-2,심각하다
곤란하다,-1,곤란하다
괘씸하다,-2,괘씸하다
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
