이름,점수,어근
가격 더 나가다,-1,가격 더 나가다
가격 맘 들다,1,가격 맘 들다
가격 맘 듭니,1,가격 맘 듭니
가격 맘 드네,1,가격 맘 드네
가격 마음 안,-1,가격 마음 안
가격 맘 안,-1,가격 맘 안
돈 더 나가다,-1,돈 더 나가다
돈 마음 안,-1,돈 마음 안
돈 맘 안,-1,돈 맘 안
돈 맘 들다,1,돈 맘 들다
돈 맘 듭니,1,돈 맘 듭니
돈 맘 드네,1,돈 맘 드네
돈 그저 그렇다,-1,돈 그저 그렇다
싼 돈 원하다,-1,싼 돈 원하다
싼 돈 기대하다,-1,싼 돈 기대하다
싼 돈 바라다,-1,싼 돈 바라다
거품 뺀 돈,2,거품 뺀 돈
돈 비해 좋다,1,돈 비해 좋다
금액 더 나가다,-1,금액 더 나가다
금액 마음 안,-1,금액 마음 안
금액 맘 안,-1,금액 맘 안
금액 맘 들다,1,금액 맘 들다
금액 맘 듭니,1,금액 맘 듭니
금액 맘 드네,1,금액 맘 드네
금액 그저 그렇다,-1,금액 그저 그렇다
거품 뺀 금액,2,거품 뺀 금액
싼 금액 원하다,-1,싼 금액 원하다
싼 금액 기대하다,-1,싼 금액 기대하다
싼 금액 바라다,-1,싼 금액 바라다
금액 비해 좋다,1,금액 비해 좋다
비용 더 나가다,-1,비용 더 나가다
비용 마음 안,-1,비용 마음 안
비용 맘 안,-1,비용 맘 안
비용 맘 들다,1,비용 맘 들다
비용 맘 듭니,1,비용 맘 듭니
비용 맘 드네,1,비용 맘 드네
비용 그저 그렇다,-1,비용 그저 그렇다
거품 뺀 비용,2,거품 뺀 비용
싼 비용 원하다,-1,싼 비용 원하다
싼 비용 기대하다,-1,싼 비용 기대하다
싼 비용 바라다,-1,싼 비용 바라다
비용 비해 좋다,1,비용 비해 좋다
가격 그저 그렇다,-1,가격 그저 그렇다
거품 뺀 가격,2,거품 뺀 가격
추가 금액 없이,2,추가 금액 없이
추가 비용 없이,2,추가 비용 없이
싼 가격 원하다,-1,싼 가격 원하다
싼 가격 기대하다,-1,싼 가격 기대하다
싼 가격 바라다,-1,싼 가격 바라다
추가 비용 붙다,-2,추가 비용 붙다
추가 금액 붙다,-2,추가 금액 붙다
추가 돈 붙다,-2,추가 돈 붙다
가격 비해 좋다,1,가격 비해 좋다
추가 금액 없다,2,추가 금액 없다
추가 비용 없다,2,추가 비용 없다
가격 죽도 높다,2,가격 죽도 높다
거품 많이 끼다,-2,거품 많이 끼다
